,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000160885,0,0,0,0,0,0,0,0,0
ENSMUST00000050519,0,0,0,0,0,0,0,0,0
ENSMUST00000208222,0,0,0,0,0,0,0,0,0
ENSMUST00000065335,0,0,0,0,0,0,0,0,0
ENSMUST00000000153,0,5,1,1,1,0,0,2,0
ENSMUST00000106439,0,14,16,26,19,0,3,0,14
ENSMUST00000049393,0,3,0,0,1,0,0,0,0
ENSMUST00000098534,2,4,6,0,2,3,2,3,0
ENSMUST00000012873,0,0,0,0,0,0,0,0,0
ENSMUST00000009236,0,0,0,0,0,0,0,0,0
ENSMUST00000000724,4,1,3,0,2,0,0,1,0
ENSMUST00000084500,46,83,99,57,84,81,40,65,33
ENSMUST00000107860,0,0,0,0,0,0,0,0,0
ENSMUST00000052266,31,28,29,34,29,24,27,27,18
ENSMUST00000025381,0,0,0,0,0,0,0,0,0
ENSMUST00000172306,2,12,7,11,10,7,22,26,11
ENSMUST00000173387,0,0,0,0,0,0,0,0,0
ENSMUST00000031554,5,5,20,4,3,20,9,9,2
ENSMUST00000041367,0,0,0,0,0,0,6,0,0
ENSMUST00000005114,0,0,0,0,0,0,0,0,0
ENSMUST00000040746,0,0,0,0,0,0,0,0,0
ENSMUST00000030585,0,0,0,0,0,0,0,0,0
ENSMUST00000029730,18,23,11,4,0,0,0,0,13
ENSMUST00000170650,0,0,0,0,0,0,0,0,0
ENSMUST00000113533,37,33,33,12,20,32,33,54,17
ENSMUST00000087623,0,0,0,0,0,0,0,0,0
ENSMUST00000029531,0,0,0,1,1,0,0,0,0
ENSMUST00000074519,17,17,18,3,2,8,4,1,1
ENSMUST00000040344,58,81,74,50,55,84,47,44,48
ENSMUST00000029699,0,0,0,0,0,0,0,0,0
ENSMUST00000193603,0,0,0,0,0,0,0,0,0
ENSMUST00000213568,0,0,0,0,0,0,0,0,0
ENSMUST00000106108,2,0,8,0,9,10,4,14,11
ENSMUST00000105870,0,0,0,0,0,0,0,0,0
ENSMUST00000048044,1,0,0,1,0,1,0,0,3
ENSMUST00000010597,0,0,0,0,0,0,0,0,0
ENSMUST00000006618,0,2,0,2,6,4,1,0,0
ENSMUST00000100530,0,0,0,0,0,0,0,0,0
ENSMUST00000034564,0,0,0,0,18,0,38,64,42
ENSMUST00000020238,253,355,115,187,290,320,210,248,182
ENSMUST00000027426,0,0,0,0,0,0,0,0,0
ENSMUST00000234305,0,0,0,0,0,0,0,0,0
ENSMUST00000047131,0,0,0,0,0,0,0,0,0
ENSMUST00000047560,17,7,2,18,16,2,16,3,18
ENSMUST00000045016,0,0,0,0,0,0,0,0,0
ENSMUST00000185462,0,0,0,0,0,0,0,0,0
ENSMUST00000166224,0,0,0,0,0,0,0,0,0
ENSMUST00000134179,0,0,0,0,0,0,0,0,0
ENSMUST00000035203,0,0,0,0,0,0,0,0,0
ENSMUST00000189253,0,0,0,0,0,0,0,0,0
ENSMUST00000214109,0,0,0,0,0,0,0,0,0
